Name,Description,Skill Area,Drill Type,Scoring Mode,Input Mode,Metric Schema,Grid Type,Subskill Mapping,Club Selection Mode,Target Distance Mode,Target Distance Value,Target Size Mode,Target Size Width,Target Size Depth,Required Set Count,Required Attempts Per Set,Anchors (JSON)
Gate Drive Drill,"Place two alignment sticks in the ground 10 yards ahead to create a narrow gate. Hit 10 drives and record whether each passes left, through, or right of the gate. Trains a consistent tee-shot start line.",Driving,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""driving_direction_control""]",,,,PercentageOfTargetDistance,10,,1,10,"{""driving_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Tee Corridor Drill,"Set up two targets defining a left and right boundary at driving distance. Hit 10 drives and record whether each lands left, in, or right of the corridor. Builds confidence in directional control with driver.",Driving,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""driving_direction_control""]",,,,PercentageOfTargetDistance,10,,1,10,"{""driving_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Direction Drive Circuit,"Hit 10 drives alternating between aiming at the left, centre, and right of a wide fairway. Record whether each drive lands left, on, or right of the intended zone. Trains directional adjustability off the tee.",Driving,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""driving_direction_control""]",,,,PercentageOfTargetDistance,10,,1,10,"{""driving_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Power Draw Drill,Tee the ball slightly higher and position it forward in the stance to encourage an in-to-out path. Hit 10 drives and score a pass for each that produces a right-to-left draw. Trains an intentional draw shape with full driver swing.,Driving,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""driving_shape_control""]",,,,,,,1,10,"{""driving_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Controlled Fade Drive Drill,Tee the ball at normal height with a slightly open stance and aim left of target. Hit 10 drives and score a pass for each that produces a left-to-right fade. Trains an intentional fade that avoids becoming a slice.,Driving,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""driving_shape_control""]",,,,,,,1,10,"{""driving_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
3-6-9 Ladder Drill,"Place balls at 3, 6, and 9 feet from the hole. Putt each ball and record whether it finishes short, on, or long of the hole. Trains progressive distance feel across a range of short putting distances.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Lag Putt Ladder,"Place three balls at 20, 30, and 40 feet. Putt each ball and record whether it finishes short of, within, or beyond the 3-foot safe zone around the hole. Trains long-range distance control to avoid three-putts.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Speed Gate Drill,"Place two tees 12 inches behind the hole. Putt 10 balls from 20 feet and record whether each finishes short of the hole, in the ideal zone, or beyond the gate. Trains optimal putting speed.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Tap-In Zone Drill,"Mark a 2-foot radius around the hole as the tap-in zone. Putt 10 lag putts from 30 feet and record whether each finishes short, in the zone, or long. Trains the ability to leave yourself a manageable second putt.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Bear Trap Drill,"Place two tees 6 inches behind the hole and 18 inches short of it. Putt 10 balls from 15 feet and record whether each finishes short, in the trap zone, or long. Trains precision speed control.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Uphill Downhill Drill,"Alternate putts between an uphill 15-footer and a downhill 15-footer. Record whether each finishes short, within 2 feet of the hole, or long. Trains speed adaptation to slope.",Putting,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""putting_distance_control""]",,,,,,,1,10,"{""putting_distance_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Clock Drill,"Place 12 balls in a circle at 3 feet around the hole. Putt all 12 consecutively and record each as left, holed, or right. Trains the ability to hole short putts from all angles.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Gate Drill (Putting),"Place two tees just wider than the putter head on the target line, 6 inches in front of the ball. Putt 10 balls and record each as left, through, or right of the gate. Trains a square, on-line putting stroke.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Circle of Death,"Place six balls in a circle at 6 feet around the hole. Putt all six consecutively and record each as left, holed, or right. Trains pressure performance on medium-range putts.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Tee Gate Drill,"Push two tees into the green just outside the putter face at address. Putt 10 balls and record each as left, through, or right of the gate. Trains a consistent, repeatable stroke path.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
String Line Drill,"Tie a string between two tees directly over the target line from ball to hole. Putt 10 balls and record whether each travels left, along, or right of the string. Trains a straight and consistent start direction.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Box Drill (Putting),"Mark a 6x6 inch square on the green as your start-line target zone. Putt 10 balls and record whether each starts left, through, or right of the box. Trains precise directional control and face angle awareness.",Putting,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Clock Face Pitch Drill,"Using the clock face as a reference for backswing length, pitch 10 balls with a 9 o'clock backswing to a defined target. Record whether each lands short, on, or long of the target zone. Trains repeatable half-swing distance control.",Pitching,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""pitching_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""pitching_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Landing Zone Pitch Drill,"Define a 10-foot diameter landing zone at your target distance. Pitch 10 balls and record whether each lands short, in, or long of the zone. Trains accurate flight distance with a pitch shot.",Pitching,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""pitching_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""pitching_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Gate Pitch Drill,"Set two alignment sticks as a gate at the target, spaced 10 feet apart. Pitch 10 balls and record whether each passes left, through, or right of the gate. Trains directional accuracy with partial swing pitch shots.",Pitching,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""pitching_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,5,,1,10,"{""pitching_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Corridor Pitch Drill,"Define a narrow corridor using markers at the landing zone. Pitch 10 balls and record whether each lands left, straight, or right of the corridor centre. Trains directional consistency across a range of pitch distances.",Pitching,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""pitching_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,5,,1,10,"{""pitching_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
High-Low Pitch Drill,Alternate between a high trajectory pitch and a low punch pitch to the same target for 10 shots. Score a pass for each shot that achieves the intended flight shape. Trains the ability to adjust trajectory with partial swing shots.,Pitching,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""pitching_flight_control""]",UserLed,,,,,,1,10,"{""pitching_flight_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Hula Hoop Drill,"Place a hula hoop or marked circle on the green as your landing zone. Chip 10 balls and record whether each lands short, in, or long of the hoop. Trains precise landing spot control for chip shots.",Chipping,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""chipping_distance_control""]",UserLed,,,,,,1,10,"{""chipping_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Landing Circle Drill,"Mark a 3-foot diameter landing zone with tees or chalk at the ideal landing spot. Chip 10 balls and record whether each lands short, in, or long of the circle. Trains consistent landing zone accuracy from around the green.",Chipping,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""chipping_distance_control""]",UserLed,,,,,,1,10,"{""chipping_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Gate Chip Drill,"Set two tees as a narrow gate at the landing zone, spaced just wider than the ball. Chip 10 balls and record whether each passes left, through, or right of the gate. Trains directional precision with chip shots.",Chipping,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""chipping_direction_control""]",UserLed,,,PercentageOfTargetDistance,5,,1,10,"{""chipping_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Coin Chip Drill,"Place a coin on the green as a precision landing target. Chip 10 balls and record whether each lands left, on, or right of the coin. Trains fine directional accuracy on short chip shots.",Chipping,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""chipping_direction_control""]",UserLed,,,PercentageOfTargetDistance,5,,1,10,"{""chipping_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Bump and Run Drill,Set a target 5 yards onto the green with 30 yards of green to run. Chip 10 balls using a low-lofted club and score a pass for each that stays below knee height through impact and runs out to the target. Trains a controlled low-flight chip.,Chipping,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""chipping_flight_control""]",UserLed,,,,,,1,10,"{""chipping_flight_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Fairway Wood Carry Test,Hit 10 fairway wood shots and record the carry distance of each. Score is the average carry across all 10 shots. Establishes a carry distance benchmark for your fairway woods.,Woods,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""woods_distance_control""]",UserLed,,,,,,1,10,"{""woods_distance_control"": {""Min"": 160, ""Scratch"": 200, ""Pro"": 230}}"
Fairway Wood Gate Drill,"Set two alignment sticks as a gate at 50 yards to define the acceptable start corridor. Hit 10 fairway wood shots and record whether each passes left, through, or right of the gate. Trains directional consistency with fairway woods.",Woods,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""woods_direction_control""]",UserLed,,,PercentageOfTargetDistance,10,,1,10,"{""woods_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Fairway Wood Shape Drill,Alternate between an intentional draw and an intentional fade on each fairway wood shot for 10 shots total. Score a pass for each shot that matches the intended shape. Trains directional adjustability with longer fairway clubs.,Woods,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""woods_shape_control""]",UserLed,,,,,,1,10,"{""woods_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Bunker Zone Drill,"Mark a 6-foot wide landing zone on the green from a greenside bunker. Hit 10 bunker shots and record whether each lands short, in, or long of the zone. Trains consistent distance control from sand.",Bunkers,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""bunkers_distance_control""]",UserLed,,,,,,1,10,"{""bunkers_distance_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Bunker Gate Drill,"Set two alignment sticks as a wide gate on the green from a greenside bunker. Hit 10 bunker shots and record whether each lands left, through, or right of the gate. Trains directional accuracy escaping from sand.",Bunkers,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""bunkers_direction_control""]",UserLed,,,PercentageOfTargetDistance,15,,1,10,"{""bunkers_direction_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
